Land-Ocean: Global Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-.17,-.23,-.08,-.15,-.08,-.20,-.17,-.09,-.13,-.22,-.20,-.16,-.16,***,***,-.10,-.15,-.19
1881,-.18,-.13,.04,.06,.07,-.17,.01,-.02,-.14,-.20,-.17,-.06,-.07,-.08,-.16,.06,-.06,-.17
1882,.18,.15,.05,-.15,-.13,-.22,-.15,-.06,-.13,-.23,-.15,-.35,-.10,-.07,.09,-.08,-.14,-.17
1883,-.28,-.36,-.11,-.17,-.16,-.07,-.05,-.13,-.20,-.10,-.22,-.10,-.16,-.18,-.33,-.15,-.08,-.17
1884,-.12,-.06,-.35,-.40,-.33,-.35,-.31,-.26,-.26,-.24,-.33,-.30,-.28,-.26,-.10,-.36,-.31,-.28
1885,-.58,-.33,-.26,-.41,-.45,-.43,-.33,-.31,-.28,-.23,-.23,-.10,-.33,-.34,-.40,-.37,-.36,-.25
1886,-.43,-.50,-.43,-.28,-.24,-.34,-.18,-.30,-.24,-.27,-.27,-.25,-.31,-.30,-.34,-.31,-.27,-.26
1887,-.71,-.56,-.35,-.34,-.30,-.24,-.25,-.35,-.25,-.35,-.25,-.32,-.36,-.35,-.51,-.33,-.28,-.28
1888,-.33,-.35,-.41,-.20,-.21,-.17,-.10,-.15,-.11,.02,.03,-.04,-.17,-.19,-.34,-.27,-.14,-.02
1889,-.08,.18,.06,.10,.00,-.09,-.07,-.20,-.24,-.25,-.33,-.28,-.10,-.08,.02,.05,-.12,-.27
1890,-.41,-.44,-.39,-.29,-.39,-.24,-.27,-.38,-.36,-.24,-.43,-.31,-.35,-.34,-.38,-.36,-.30,-.34
1891,-.33,-.46,-.18,-.27,-.16,-.20,-.17,-.17,-.15,-.21,-.30,-.04,-.22,-.24,-.37,-.20,-.18,-.22
1892,-.28,-.10,-.40,-.33,-.23,-.22,-.31,-.26,-.16,-.13,-.41,-.37,-.27,-.24,-.14,-.32,-.27,-.23
1893,-.80,-.56,-.22,-.26,-.33,-.24,-.13,-.24,-.22,-.18,-.18,-.31,-.31,-.31,-.58,-.27,-.21,-.19
1894,-.52,-.28,-.22,-.44,-.30,-.39,-.23,-.23,-.27,-.22,-.24,-.20,-.30,-.31,-.37,-.32,-.29,-.25
1895,-.39,-.42,-.32,-.21,-.26,-.20,-.16,-.17,-.12,-.10,-.16,-.13,-.22,-.23,-.34,-.27,-.18,-.13
1896,-.21,-.12,-.26,-.30,-.15,-.11,-.02,-.04,-.06,.07,-.04,-.04,-.11,-.11,-.15,-.23,-.06,-.01
1897,-.14,-.16,-.13,-.02,-.01,-.11,-.02,-.09,-.08,-.12,-.17,-.19,-.10,-.09,-.11,-.05,-.07,-.12
1898,-.01,-.29,-.50,-.30,-.29,-.18,-.21,-.25,-.20,-.33,-.37,-.23,-.26,-.26,-.16,-.36,-.21,-.30
1899,-.15,-.38,-.35,-.20,-.22,-.31,-.15,-.08,-.05,-.04,.13,-.26,-.17,-.17,-.25,-.26,-.18,.02
1900,-.35,-.05,.01,-.08,-.08,-.09,-.12,-.08,-.05,.10,-.06,-.06,-.08,-.09,-.22,-.05,-.10,.00
1901,-.21,-.10,.07,-.02,-.15,-.12,-.14,-.20,-.22,-.29,-.17,-.27,-.15,-.13,-.12,-.03,-.15,-.23
1902,-.17,-.06,-.27,-.28,-.31,-.29,-.27,-.29,-.28,-.28,-.35,-.41,-.27,-.26,-.17,-.29,-.28,-.30
1903,-.23,-.05,-.22,-.40,-.39,-.42,-.35,-.45,-.49,-.48,-.42,-.50,-.37,-.36,-.23,-.34,-.40,-.46
1904,-.63,-.57,-.47,-.50,-.51,-.48,-.50,-.48,-.55,-.38,-.16,-.32,-.46,-.48,-.57,-.49,-.49,-.37
1905,-.34,-.58,-.21,-.33,-.28,-.28,-.26,-.20,-.18,-.24,-.06,-.12,-.26,-.27,-.41,-.27,-.24,-.16
1906,-.27,-.29,-.18,-.04,-.25,-.19,-.22,-.19,-.28,-.19,-.37,-.14,-.22,-.22,-.23,-.16,-.20,-.28
1907,-.42,-.50,-.27,-.36,-.46,-.41,-.34,-.33,-.34,-.22,-.45,-.45,-.38,-.35,-.35,-.36,-.36,-.34
1908,-.44,-.32,-.54,-.44,-.37,-.37,-.34,-.45,-.35,-.43,-.51,-.48,-.42,-.42,-.40,-.45,-.39,-.43
1909,-.71,-.45,-.54,-.58,-.54,-.51,-.44,-.32,-.38,-.38,-.30,-.55,-.48,-.47,-.55,-.55,-.42,-.35
1910,-.40,-.40,-.50,-.41,-.33,-.38,-.33,-.36,-.38,-.40,-.54,-.66,-.42,-.41,-.45,-.41,-.36,-.44
1911,-.61,-.56,-.60,-.52,-.50,-.49,-.40,-.43,-.40,-.25,-.19,-.20,-.43,-.47,-.61,-.54,-.44,-.28
1912,-.24,-.13,-.36,-.16,-.20,-.22,-.41,-.53,-.57,-.56,-.37,-.42,-.35,-.33,-.19,-.24,-.39,-.50
1913,-.39,-.44,-.42,-.38,-.43,-.44,-.35,-.33,-.34,-.31,-.19,-.01,-.34,-.37,-.42,-.41,-.37,-.28
1914,.06,-.09,-.23,-.29,-.20,-.25,-.22,-.15,-.16,-.03,-.14,-.03,-.14,-.14,-.01,-.24,-.21,-.11
1915,-.19,-.03,-.09,.07,-.05,-.21,-.11,-.21,-.20,-.24,-.12,-.21,-.13,-.12,-.08,-.02,-.18,-.19
1916,-.11,-.14,-.28,-.30,-.34,-.49,-.36,-.27,-.36,-.32,-.45,-.81,-.35,-.30,-.15,-.30,-.38,-.38
