Site	Species	Sex	Observed_Stage	PCL	FL	STL	Hook_Size	Set	Day	Month	Year	Estimated_Stage
Aransas_Bay	Carcharhinus_brevipinna	F	NA	513	568	705	10	2	25	8	2015	YOY
Aransas_Bay	Carcharhinus_brevipinna	F	NA	545	602	757	10	2	25	8	2015	YOY
Aransas_Bay	Carcharhinus_brevipinna	F	NA	560	610	770	10	2	25	8	2015	YOY
Aransas_Bay	Carcharhinus_brevipinna	F	NA	556	615	770	15	2	25	8	2015	YOY
Redfish_Bay	Carcharhinus_brevipinna	M	NA	575	642	788	10	3	8	9	2015	YOY
Aransas_Bay	Carcharhinus_brevipinna	F	NA	590	660	814	10	1	22	9	2015	YOY
Aransas_Bay	Carcharhinus_brevipinna	M	NA	574	640	792	10	3	22	9	2015	YOY
Corpus_Christi_Bay	Carcharhinus_brevipinna	F	NA	546	605	764	15	4	21	7	2016	YOY
Corpus_Christi_Bay	Carcharhinus_brevipinna	M	NA	464	600	820	10	1	12	9	2016	YOY
Corpus_Christi_Bay	Carcharhinus_brevipinna	M	NA	585	655	820	10	2	12	9	2016	YOY
Corpus_Christi_Bay	Carcharhinus_brevipinna	F	NA	595	651	835	10	2	12	9	2016	YOY
Corpus_Christi_Bay	Carcharhinus_brevipinna	F	NA	600	670	835	15	4	27	9	2016	YOY
Corpus_Christi_Bay	Carcharhinus_brevipinna	M	NA	605	628	685	10	2	6	7	2017	YOY
Corpus_Christi_Bay	Carcharhinus_brevipinna	M	NA	514	566	714	15	4	6	7	2017	YOY
Corpus_Christi_Bay	Carcharhinus_brevipinna	F	NA	520	574	720	15	4	6	7	2017	YOY
Corpus_Christi_Bay	Carcharhinus_brevipinna	F	NA	530	585	726	10	4	6	7	2017	YOY
Corpus_Christi_Bay	Carcharhinus_brevipinna	F	NA	510	560	696	15	5	6	7	2017	YOY
Corpus_Christi_Bay	Carcharhinus_brevipinna	F	NA	515	565	709	10	5	6	7	2017	YOY
Aransas_Bay	Carcharhinus_brevipinna	F	NA	500	549	690	15	3	11	7	2017	YOY
Aransas_Bay	Carcharhinus_brevipinna	F	NA	535	590	736	15	3	11	7	2017	YOY
Corpus_Christi_Bay	Carcharhinus_brevipinna	F	NA	540	596	749	10	1	21	8	2017	YOY
Corpus_Christi_Bay	Carcharhinus_brevipinna	F	NA	578	635	760	10	1	21	8	2017	YOY
Corpus_Christi_Bay	Carcharhinus_brevipinna	F	NA	585	645	823	15	1	21	8	2017	YOY
Corpus_Christi_Bay	Carcharhinus_brevipinna	F	NA	590	650	875	10	3	21	8	2017	YOY
Corpus_Christi_Bay	Carcharhinus_brevipinna	F	NA	589	650	848	15	4	21	8	2017	YOY
Corpus_Christi_Bay	Carcharhinus_brevipinna	F	NA	610	670	850	10	4	21	8	2017	YOY
Redfish_Bay	Carcharhinus_brevipinna	F	NA	610	670	870	10	4	13	9	2017	YOY
Corpus_Christi_Bay	Carcharhinus_brevipinna	F	NA	601	668	805	10	1	20	9	2017	YOY
Corpus_Christi_Bay	Carcharhinus_brevipinna	F	NA	614	680	800	10	1	20	9	2017	YOY
Corpus_Christi_Bay	Carcharhinus_brevipinna	F	NA	540	597	750	10	2	20	9	2017	YOY
Redfish_Bay	Carcharhinus_brevipinna	M	NA	660	722	880	10	1	20	10	2017	YOY
Redfish_Bay	Carcharhinus_brevipinna	F	NA	613	670	740	15	3	20	10	2017	YOY
Corpus_Christi_Bay	Carcharhinus_brevipinna	M	NA	635	699	860	15	1	25	10	2017	YOY
Aransas_Bay	Carcharhinus_brevipinna	F	NA	434	489	611	10	1	15	5	2018	YOY
Corpus_Christi_Bay	Carcharhinus_brevipinna	M	NA	505	550	701	10	2	3	7	2018	YOY
Corpus_Christi_Bay	Carcharhinus_brevipinna	M	NA	555	517	765	10	2	30	8	2018	YOY
Corpus_Christi_Bay	Carcharhinus_brevipinna	F	NA	560	625	780	10	3	30	8	2018	YOY
Corpus_Christi_Bay	Carcharhinus_brevipinna	F	NA	560	620	780	15	3	30	8	2018	YOY
Corpus_Christi_Bay	Carcharhinus_brevipinna	M	NA	600	660	830	10	1	25	9	2018	YOY
Corpus_Christi_Bay	Carcharhinus_brevipinna	M	NA	570	630	784	15	2	25	9	2018	YOY
Corpus_Christi_Bay	Carcharhinus_brevipinna	F	NA	570	639	800	10	1	2	10	2018	YOY
Corpus_Christi_Bay	Carcharhinus_brevipinna	F	NA	596	663	830	15	1	2	10	2018	YOY
Corpus_Christi_Bay	Carcharhinus_brevipinna	F	NA	620	683	845	10	1	2	10	2018	YOY
Corpus_Christi_Bay	Carcharhinus_brevipinna	F	NA	615	680	852	15	1	2	10	2018	YOY
Corpus_Christi_Bay	Carcharhinus_brevipinna	M	NA	626	690	865	10	1	2	10	2018	YOY
Corpus_Christi_Bay	Carcharhinus_brevipinna	F	NA	605	667	835	15	2	2	10	2018	YOY
Corpus_Christi_Bay	Carcharhinus_brevipinna	F	NA	555	615	765	10	3	2	10	2018	YOY
Corpus_Christi_Bay	Carcharhinus_brevipinna	F	NA	585	647	807	15	3	2	10	2018	YOY
Corpus_Christi_Bay	Carcharhinus_brevipinna	F	NA	585	654	807	15	3	2	10	2018	YOY
Corpus_Christi_Bay	Carcharhinus_brevipinna	F	NA	590	648	816	10	3	2	10	2018	YOY
Corpus_Christi_Bay	Carcharhinus_brevipinna	F	NA	535	595	745	10	4	2	10	2018	YOY
Corpus_Christi_Bay	Carcharhinus_brevipinna	M	NA	600	660	828	10	4	2	10	2018	YOY
