YEAR	MEAN_GLOB_C	MEAN_GLOB_F
1880	13.84	56.912
1881	13.92	57.056
1882	13.9	57.02
1883	13.83	56.894
1884	13.72	56.696
1885	13.67	56.606
1886	13.69	56.641999999999996
1887	13.64	56.552
1888	13.83	56.894
1889	13.9	57.02
1890	13.65	56.57
1891	13.78	56.804
1892	13.73	56.714
1893	13.69	56.641999999999996
1894	13.7	56.66
1895	13.77	56.786
1896	13.89	57.002
1897	13.89	57.002
1898	13.73	56.714
1899	13.82	56.876
1900	13.92	57.056
1901	13.85	56.93
1902	13.72	56.696
1903	13.63	56.534
1904	13.53	56.354
1905	13.74	56.732
1906	13.78	56.804
1907	13.61	56.498
1908	13.57	56.426
1909	13.52	56.336
1910	13.56	56.408
1911	13.56	56.408
1912	13.64	56.552
1913	13.66	56.588
1914	13.85	56.93
1915	13.86	56.948
1916	13.64	56.552
1917	13.54	56.372
1918	13.7	56.66
1919	13.72	56.696
1920	13.72	56.696
1921	13.81	56.858000000000004
1922	13.71	56.678000000000004
1923	13.73	56.714
1924	13.73	56.714
1925	13.78	56.804
1926	13.89	57.002
1927	13.78	56.804
1928	13.8	56.84
1929	13.64	56.552
1930	13.84	56.912
1931	13.91	57.038
1932	13.84	56.912
1933	13.71	56.678000000000004
1934	13.87	56.966
1935	13.8	56.84
1936	13.85	56.93
1937	13.97	57.146
1938	14	57.2
1939	13.98	57.164
1940	14.13	57.434
1941	14.19	57.542
1942	14.07	57.326
1943	14.09	57.362
1944	14.2	57.56
1945	14.09	57.362
1946	13.93	57.074
1947	13.97	57.146
1948	13.89	57.002
1949	13.89	57.002
1950	13.83	56.894
1951	13.93	57.074
1952	14.01	57.218
1953	14.08	57.344
1954	13.87	56.966
1955	13.86	56.948
1956	13.81	56.858000000000004
1957	14.05	57.29
1958	14.06	57.308
1959	14.03	57.254
1960	13.97	57.146
1961	14.06	57.308
1962	14.03	57.254
1963	14.05	57.29
1964	13.8	56.84
1965	13.89	57.002
1966	13.94	57.092
1967	13.98	57.164
1968	13.92	57.056
1969	14.05	57.29
1970	14.03	57.254
1971	13.92	57.056
1972	14.01	57.218
1973	14.16	57.488
1974	13.93	57.074
1975	13.99	57.182
1976	13.9	57.02
1977	14.18	57.524
1978	14.07	57.326
1979	14.16	57.488
1980	14.26	57.668
1981	14.32	57.775999999999996
1982	14.14	57.452
1983	14.31	57.757999999999996
1984	14.16	57.488
1985	14.12	57.416
1986	14.18	57.524
1987	14.32	57.775999999999996
1988	14.39	57.902
1989	14.27	57.686
1990	14.45	58.01
1991	14.41	57.938
1992	14.22	57.596000000000004
1993	14.23	57.614
1994	14.32	57.775999999999996
1995	14.45	58.01
1996	14.33	57.794
1997	14.46	58.028000000000006
1998	14.61	58.298
1999	14.38	57.884
2000	14.4	57.92
2001	14.54	58.172
2002	14.63	58.334
2003	14.62	58.315999999999995
2004	14.54	58.172
2005	14.68	58.424
2006	14.64	58.352
2007	14.67	58.406
2008	14.54	58.172
2009	14.66	58.388
2010	14.72	58.496
2011	14.61	58.298
2012	14.65	58.37
2013	14.68	58.424
2014	14.75	58.55
2015	14.9	58.82
2016	15.02	59.036
2017	14.92	58.856
2018	14.85	58.730000000000004
2019	14.98	58.964
2020	15.02	59.036
2021	14.808571428571428	58.65542857142857
